category,series, exercise#,exercise,link,Embed link,duration
סדרות,סדרה שישית - תפיסות בגדים,4,כתף - קלאסי,https://youtu.be/BxcG5y_iLkg?t=63,https://www.youtube.com/embed/BxcG5y_iLkg?start=63,6
סדרות,סדרה שישית - תפיסות בגדים,5,בטן - ריתוק שורש כף היד,https://youtu.be/BxcG5y_iLkg?t=74,https://www.youtube.com/embed/BxcG5y_iLkg?start=74,17
סדרות,סדרה שישית - תפיסות בגדים,6,חזה - בריח על מפרק (תרגיל שני סדרה שניה),https://youtu.be/BxcG5y_iLkg?t=109,https://www.youtube.com/embed/BxcG5y_iLkg?start=109,10
סדרות,סדרת חניקות,1,חניקת איקס Gyaku-juji-jime,https://youtu.be/t3tQriIPdlI?t=50,https://www.youtube.com/embed/t3tQriIPdlI?start=50,7
סדרות,סדרת חניקות,2,קרקע - חניקת דש,,,
סדרות,סדרת חניקות,3,קרקע - חניקת x  בנפילה,,,
סדרות,סדרת חניקות,4,חניקת אמה Hadaka Jime,https://youtu.be/9f0n8jez7iA?t=5,https://www.youtube.com/embed/9f0n8jez7iA?start=5,7
סדרות,סדרת חניקות,5,חניקת דש Okuri Eri Jime,https://youtu.be/EiqyoVcIAi8?t=5,https://www.youtube.com/embed/EiqyoVcIAi8?start=5,8
סדרות,סדרת חניקות,6,חניקה יד על הראש Kataha-jime,https://youtu.be/yaTGgRjnwB8?t=6,https://www.youtube.com/embed/yaTGgRjnwB8?start=6,7
סדרות,סדרת חניקות,7,חניקה קלאסית,,,
הגנה מכלי נשק,סכין קדימה,1,"Tai Sabaki - בלימה ימין, החלפת יד, אגרוף ימין, Tai Sabaki",https://youtu.be/IYFQNjnJ_UI?t=1,https://www.youtube.com/embed/IYFQNjnJ_UI?start=1,
הגנה מכלי נשק,סכין קדימה,2,"בלימה ימין, שבירה על הכתף, Ippon-seoi-nage מהשרוול",https://youtu.be/IYFQNjnJ_UI?t=12,https://www.youtube.com/embed/IYFQNjnJ_UI?start=12,
